응답일시,참여자,개인정보 수집 및 이용 동의(*),선생님의 연령은 올해 만으로 어떻게 되십니까?(*),선생님의 성별은 어떻게 되십니까?(*),선생님의 학번은 어떻게 되십니까?(*),선생님의 학과는 어떻게 되십니까?(*),선생님께서는 총학 선거날 투표를 하시겠습니까?(*),1-1. 왜 총학생회 선거에 투표하려고 하십니까?(*),2. 응답자님께서는 어떤 투표 방식을 선호하십니까?(*),3. 어떠한 경로로 설문조사에 참여하게 됐습니까?(*),왜 총학생회 선거에 투표하지 않으려고 하십니까?(*),2. 응답자님께서는 어떤 투표 방식을 선호하십니까?(*),3. 어떠한 경로로 설문조사에 참여하게 됐습니까?(*)
2024-10-28 12:42,1,Y,,,,정치외교학과,한다.,참여는 내 권리라고 생각해서,오프라인,에브리타임 게시판을 보고,,,
2024-10-28 13:57,2,Y,,,,임베디드시스템공학과,안한다.,,,,후보에 대한 정보가 부족해서,온라인,지인의 권유로
2024-10-28 15:59,3,Y,,,,정치외교학과,한다.,참여는 내 권리라고 생각해서,오프라인,에브리타임 게시판을 보고,,,
2024-10-28 15:59,4,Y,,,,정치외교학과,한다.,참여는 내 권리라고 생각해서,둘 다 상관없음,에브리타임 게시판을 보고,,,
2024-10-28 16:12,5,Y,,,,세무회계학과,한다.,학생 대표의 공석을 방지하기 위해서,온라인,에브리타임 게시판을 보고,,,
2024-10-28 16:13,6,Y,,,,정치외교학과,한다.,참여는 내 권리라고 생각해서,둘 다 상관없음,에브리타임 게시판을 보고,,,
2024-10-28 16:14,7,Y,,,,정치외교학과,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,둘 다 상관없음,지인의 권유로,,,
2024-10-28 17:11,8,Y,,,,미디어커뮤니케이션학과,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,에브리타임 게시판을 보고,,,
2024-10-28 18:05,9,Y,,,,정치외교학과,한다.,학생 대표의 공석을 방지하기 위해서,온라인,INU바로미터 현장조사에서,,,
2024-10-28 18:05,10,Y,,,,정치외교학과,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,지인의 권유로,,,
