응답일시,참여자,개인정보 수집 및 이용 동의(*),선생님의 연령은 올해 만으로 어떻게 되십니까?(*),선생님의 성별은 어떻게 되십니까?(*),선생님의 학번은 어떻게 되십니까?(*),선생님의 학과는 어떻게 되십니까?(*),"1.내일이 총학생회 선거 투표일이라면, 선생님께서는 다음 후보 중 누구에게 투표하시겠습니까?(*)",2.앞서 투표하겠다고 말씀하신 후보를 선택한 가장 큰 이유는 다음 중 무엇입니까?(*),3.선생님께서는 총학 선거날 투표를 하시겠습니까?(*),3-1. 왜 총학생회 선거에 투표하려고 하십니까?(*),4. 응답자님께서는 어떤 투표 방식을 선호하십니까?(*),5. 어떠한 경로로 설문조사에 참여하게 됐습니까?(*),3-2.왜 총학생회 선거에 투표하지 않으려고 하십니까?(*),4. 응답자님께서는 어떤 투표 방식을 선호하십니까?(*),5. 어떠한 경로로 설문조사에 참여하게 됐습니까?(*)
2024-11-10 23:36,1,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),리더십과 성품,한다.,참여는 내 권리라고 생각해서,둘 다 상관없음,지인의 권유로,,,
2024-11-11 0:53,2,Y,,,,,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),리더십과 성품,한다.,학생 대표의 공석을 방지하기 위해서,둘 다 상관없음,에브리타임 게시판을 보고,,,
2024-11-11 0:56,3,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),선거 유세의 호소력,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,에브리타임 게시판을 보고,,,
2024-11-11 6:51,4,Y,,,,,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),리더십과 성품,한다.,내가 지지하는 후보가 있어서,온라인,에브리타임 게시판을 보고,,,
2024-11-11 7:23,5,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,모름,한다.,학생 대표의 공석을 방지하기 위해서,오프라인,에브리타임 게시판을 보고,,,
2024-11-11 10:16,6,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,X,안한다.,,,,후보에 대한 정보가 부족해서,온라인,에브리타임 게시판을 보고
2024-11-11 11:49,7,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,공약의 실현 가능성,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,에브리타임 게시판을 보고,,,
2024-11-11 11:50,8,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,학과 또는 소속 단과대학,한다.,학생 대표의 공석을 방지하기 위해서,온라인,에브리타임 게시판을 보고,,,
2024-11-11 11:59,9,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모름,한다.,참여는 내 권리라고 생각해서,온라인,에브리타임 게시판을 보고,,,
2024-11-11 15:38,10,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),공약의 실현 가능성,한다.,학생 대표의 공석을 방지하기 위해서,둘 다 상관없음,에브리타임 게시판을 보고,,,
2024-11-11 16:46,11,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,학생 대표의 공석을 방지하기 위해서,온라인,에브리타임 게시판을 보고,,,
2024-11-11 17:46,12,Y,,,,,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),리더십과 성품,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,둘 다 상관없음,에브리타임 게시판을 보고,,,
2024-11-11 19:14,13,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,참여는 내 권리라고 생각해서,오프라인,에브리타임 게시판을 보고,,,
2024-11-11 22:04,14,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),경력,한다.,내가 지지하는 후보가 있어서,둘 다 상관없음,에브리타임 게시판을 보고,,,
2024-11-12 0:34,15,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,오프라인,에브리타임 게시판을 보고,,,
2024-11-12 12:10,16,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,설문조사 홍보 전단지에서,,,
2024-11-12 12:11,17,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),안한다.,,,,후보에 대한 정보가 부족해서,온라인,INU바로미터 현장조사에서
2024-11-12 12:11,18,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),학과 또는 소속 단과대학,안한다.,,,,투표 절차가 번거로워서,온라인,INU바로미터 현장조사에서
2024-11-12 12:11,19,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),리더십과 성품,안한다.,,,,총학생회에 관심이 없어서,온라인,설문조사 홍보 전단지에서
2024-11-12 12:11,20,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),주변 친구들의 추천,한다.,주변에서 투표하라고 권유해서,온라인,에브리타임 게시판을 보고,,,
2024-11-12 12:11,21,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),안한다.,,,,내가 뽑아도 변화가 없을 것 같아서,온라인,설문조사 홍보 전단지에서
2024-11-12 12:11,22,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,주변에서 투표하라고 권유해서,온라인,INU바로미터 현장조사에서,,,
2024-11-12 12:12,23,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),학과 또는 소속 단과대학,한다.,학생 대표의 공석을 방지하기 위해서,둘 다 상관없음,INU바로미터 현장조사에서,,,
2024-11-12 12:12,24,Y,,,,,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),주변 친구들의 추천,한다.,참여는 내 권리라고 생각해서,오프라인,INU바로미터 현장조사에서,,,
2024-11-12 12:12,25,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,공약의 실현 가능성,한다.,주변에서 투표하라고 권유해서,온라인,설문조사 홍보 전단지에서,,,
2024-11-12 12:12,26,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),안한다.,,,,총학생회에 관심이 없어서,온라인,INU바로미터 현장조사에서
2024-11-12 12:14,27,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,리더십과 성품,한다.,참여는 내 권리라고 생각해서,온라인,INU바로미터 현장조사에서,,,
2024-11-12 12:14,28,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),리더십과 성품,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,에브리타임 게시판을 보고,,,
2024-11-12 12:14,29,Y,,,,,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),리더십과 성품,안한다.,,,,총학생회에 관심이 없어서,온라인,INU바로미터 현장조사에서
2024-11-12 12:15,30,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,INU바로미터 현장조사에서,,,
2024-11-12 12:15,31,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),리더십과 성품,한다.,학생 대표의 공석을 방지하기 위해서,온라인,INU바로미터 현장조사에서,,,
2024-11-12 12:15,32,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,INU바로미터 현장조사에서,,,
2024-11-12 12:16,33,Y,,,,,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,온라인,설문조사 홍보 전단지에서,,,
2024-11-12 12:16,34,Y,,,,,기호 1번 (학생회장: 장형도 / 부학생회장: 이겨레),주변 친구들의 추천,한다.,주변에서 투표하라고 권유해서,오프라인,INU바로미터 현장조사에서,,,
