응답일시,참여자,개인정보 수집 및 이용 동의(*),선생님의 연령은 올해 만으로 어떻게 되십니까?(*),선생님의 성별은 어떻게 되십니까?(*),선생님의 학번은 어떻게 되십니까?(*),선생님의 학과는 어떻게 되십니까?(*),"1.내일이 총학생회 선거 투표일이라면, 선생님께서는 다음 후보 중 누구에게 투표하시겠습니까?(*)",2.앞서 투표하겠다고 말씀하신 후보를 선택한 가장 큰 이유는 다음 중 무엇입니까?(*),3.선생님께서는 총학 선거날 투표를 하시겠습니까?(*),3-1. 왜 총학생회 선거에 투표하려고 하십니까?(*),"4. 선생님께서는 21(목), 22(금)일 정책 설명회 및 토론회에 관심이 있으십니까?(*)","5. 선생님께서는 21(목), 22(금)일 정책 설명회 및 토론회에 참관하거나 시청할 생각이 있으십니까?(*)",6. 어떠한 경로로 설문조사에 참여하게 됐습니까?(*),3-2.왜 총학생회 선거에 투표하지 않으려고 하십니까?(*),"4. 선생님께서는 21(목), 22(금)일 정책 설명회 및 토론회에 관심이 있으십니까?(*)","5. 선생님께서는 21(목), 22(금)일 정책 설명회 및 토론회에 참관하거나 시청할 생각이 있으십니까?(*)",5. 어떠한 경로로 설문조사에 참여하게 됐습니까?(*)
2024-11-18 10:09,1,Y,,,202000000,정치외교학과,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),공약의 실현 가능성,한다.,참여는 내 권리라고 생각해서,매우 관심이 있다,참관하거나 시청할 생각이 있다.,지인의 권유로,,,,
2024-11-18 12:05,2,Y,,,202000001,법학부,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),한다.,참여는 내 권리라고 생각해서,전혀 관심이 없다,그럴 생각이 없다.,INU바로미터 현장조사에서,,,,
2024-11-18 12:06,3,Y,,,202000002,법학부,지지하는 후보가 없다. 또는 모르겠다.,리더십과 성품,한다.,주변에서 투표하라고 권유해서,매우 관심이 있다,그럴 생각이 없다.,지인의 권유로,,,,
2024-11-18 12:11,4,Y,,,202000003,무역학부,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),안한다.,,,,,총학생회에 관심이 없어서,보통이다,참관하거나 시청할 생각이 있다.,설문조사 홍보 전단지에서
2024-11-18 12:12,5,Y,,,202000004,사회복지학과,지지하는 후보가 없다. 또는 모르겠다.,데,안한다.,,,,,투표 시간이 없어서,전혀 관심이 없다,그럴 생각이 없다.,지인의 권유로
2024-11-18 12:12,6,Y,,,202000005,사회복지학과,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),공약의 실현 가능성,한다.,주변에서 투표하라고 권유해서,관심이 없는 편이다,그럴 생각이 없다.,INU바로미터 현장조사에서,,,,
2024-11-18 12:13,7,Y,,,202000006,사회복지학과,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),선거 유세의 호소력,안한다.,,,,,투표 시간이 없어서,관심이 없는 편이다,그럴 생각이 없다.,INU바로미터 현장조사에서
2024-11-18 12:13,8,Y,,,202000007,사회복지학과,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),선거 유세의 호소력,안한다.,,,,,투표 시간이 없어서,보통이다,그럴 생각이 없다.,INU바로미터 현장조사에서
2024-11-18 12:15,9,Y,,,202000008,사회복지학과,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),선거 유세의 호소력,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,보통이다,그럴 생각이 없다.,설문조사 홍보 전단지에서,,,,
2024-11-18 12:18,10,Y,,,202000009,공연예술학과,지지하는 후보가 없다. 또는 모르겠다.,선거 유세의 호소력,안한다.,,,,,총학생회에 관심이 없어서,전혀 관심이 없다,그럴 생각이 없다.,INU바로미터 현장조사에서
2024-11-18 12:18,11,Y,,,202000010,경영학부,지지하는 후보가 없다. 또는 모르겠다.,공약의 실현 가능성,한다.,해,보통이다,그럴 생각이 없다.,에브리타임 게시판을 보고,,,,
2024-11-18 12:21,12,Y,,,202000011,건설환경공학부,지지하는 후보가 없다. 또는 모르겠다.,선거 유세의 호소력,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,매우 관심이 있다,참관하거나 시청할 생각이 있다.,INU바로미터 현장조사에서,,,,
2024-11-18 12:22,13,Y,,,202000012,기계공학과,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),안한다.,,,,,후보에 대한 정보가 부족해서,관심이 없는 편이다,그럴 생각이 없다.,INU바로미터 현장조사에서
2024-11-18 12:23,14,Y,,,202000013,기계공학과,지지하는 후보가 없다. 또는 모르겠다.,학과 또는 소속 단과대학,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,보통이다,그럴 생각이 없다.,에브리타임 게시판을 보고,,,,
2024-11-18 12:23,15,Y,,,202000014,기계공학과,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),주변 친구들의 추천,한다.,대학 생활에 영향을 미치는 사안이라고 생각해서,보통이다,그럴 생각이 없다.,INU바로미터 현장조사에서,,,,
2024-11-18 12:26,16,Y,,,202000015,생명공학부,지지하는 후보가 없다. 또는 모르겠다.,잘모르겠다.(지지하는 후보가 없다. 또는 모르겠다. 선택한 경우),안한다.,,,,,후보에 대한 정보가 부족해서,전혀 관심이 없다,그럴 생각이 없다.,INU바로미터 현장조사에서
2024-11-18 12:26,17,Y,,,202000016,법학부,지지하는 후보가 없다. 또는 모르겠다.,선거 유세의 호소력,한다.,참여는 내 권리라고 생각해서,관심이 없는 편이다,그럴 생각이 없다.,INU바로미터 현장조사에서,,,,
2024-11-18 12:27,18,Y,,,202000017,법학부,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),공약의 실현 가능성,한다.,학생 대표의 공석을 방지하기 위해서,관심이 없는 편이다,그럴 생각이 없다.,INU바로미터 현장조사에서,,,,
2024-11-18 12:27,19,Y,,,202000018,법학부,기호 2번 (학생회장: 한광덕 / 부학생회장: 이지민),공약의 실현 가능성,한다.,참여는 내 권리라고 생각해서,보통이다,그럴 생각이 없다.,INU바로미터 현장조사에서,,,,
